Column_Timestamp,Column_22_23,Col1292,Col1293,Column_labels
1679050325,1036288,32,32384,1
1679053325,1060864,32,33152,1
1679056325,1101824,32,34432,1
1679059325,1110016,32,34688,1
1679062325,1126400,32,35200,1
1679065325,1126400,32,35200,1
1679068325,1126400,32,35200,1
1679071325,1126400,32,35200,1
1679074325,1126400,32,35200,1
1679077325,1126400,32,35200,1
1679080325,1126400,32,35200,1
1679083325,1130496,32,35328,1
1679086325,1142784,32,35712,1
1679089325,1142784,32,35712,1
1679092325,1146880,32,35840,1
1679095325,1146880,32,35840,1
1679098325,1146880,32,35840,1
1679101325,1146880,32,35840,1
1679104325,1146880,32,35840,1
1679107325,1146880,32,35840,1
1679110325,1146880,32,35840,1
1679113325,1146880,32,35840,1
1679116325,1146880,32,35840,1
1679119325,1155072,32,36096,1
1679122325,1155072,32,36096,1
1679125325,1155072,32,36096,1
1679128325,1155072,32,36096,1
1679131325,1045664,32,32677,1
1679134325,932672,32,29146,1
1679137325,941632,32,29426,1
1679140325,945696,32,29553,1
1679143325,945696,32,29553,1
1679146325,958464,32,29952,1
1679149325,958464,32,29952,1
1679152325,962560,32,30080,1
1679155325,970752,32,30336,1
1679158325,983040,32,30720,1
1679161325,1024000,32,32000,1
1679164325,1056768,32,33024,1
1679167325,1056768,32,33024,1
1679170325,1056768,32,33024,1
1679173325,1060864,32,33152,1
1679176325,1069056,32,33408,1
1679179325,1077248,32,33664,1
1679182325,1077248,32,33664,1
1679185325,1077248,32,33664,1
1679188325,1077248,32,33664,1
1679191325,1077248,32,33664,1
1679194325,1077248,32,33664,1
1679197325,1077248,32,33664,1
1679200325,1077248,32,33664,1
1679203325,1077248,32,33664,1
1679206325,1077248,32,33664,1
1679209325,1077248,32,33664,1
1679212325,1077248,32,33664,1
1679215325,1081344,32,33792,1
1679218325,1085440,32,33920,1
1679221325,1085440,32,33920,1
1679224325,1085440,32,33920,1
1679227325,976960,32,30530,1
1679230325,993280,32,31040,1
1679233325,997312,32,31166,1
1679236325,998848,32,31214,1
1679239325,1003520,32,31360,1
1679242325,1007616,32,31488,1
1679245325,1011712,32,31616,1
1679248325,1052672,32,32896,1
1679251325,1060864,32,33152,1
1679254325,1060864,32,33152,1
1679257325,1089536,32,34048,1
1679260325,1097728,32,34304,1
1679263325,1097728,32,34304,1
1679266325,1101824,32,34432,1
1679269325,1130496,32,35328,1
1679272325,1130496,32,35328,1
1679275325,1130496,32,35328,1
1679278325,1130496,32,35328,1
1679281325,1130496,32,35328,1
1679284325,1130496,32,35328,1
1679287325,1130496,32,35328,1
1679290325,1130496,32,35328,1
1679293325,1130496,32,35328,1
1679296325,1130496,32,35328,1
1679299325,1130496,32,35328,1
1679302325,1130496,32,35328,1
1679305325,1142784,32,35712,1
1679308325,1155072,32,36096,1
1679311325,1183744,32,36992,1
1679314325,1191936,32,37248,1
1679317325,1200128,32,37504,1
1679320325,1204224,32,37632,1
1679323325,1208320,32,37760,1
1679326325,1208320,32,37760,1
1679329325,1220608,32,38144,1
1679332325,1232896,32,38528,1
1679335325,1232896,32,38528,1
1679338325,1232896,32,38528,1
1679341325,1232896,32,38528,1
1679344325,1232896,32,38528,1
1679347325,1241088,32,38784,1
1679350325,1241088,32,38784,1
1679353325,1241088,32,38784,1
1679356325,1241088,32,38784,1
1679359325,1241088,32,38784,1
1679362325,1241088,32,38784,1
1679365325,1241088,32,38784,1
1679368325,1241088,32,38784,1
1679371325,1241088,32,38784,1
1679374325,1241088,32,38784,1
1679377325,1241088,32,38784,1
1679380325,1241088,32,38784,1
1679383325,1241088,32,38784,1
1679386325,1241088,32,38784,1
1679389325,1241088,32,38784,1
1679392325,1241088,32,38784,1
1679395325,1241088,32,38784,1
1679398325,1241088,32,38784,1
1679401325,1241088,32,38784,1
1679404325,1245184,32,38912,1
1679407325,1245184,32,38912,1
1679410325,1249280,32,39040,1
1679413325,1253376,32,39168,1
1679416325,1261568,32,39424,1
1679419325,1265664,32,39552,1
1679422325,1269760,32,39680,1
1679425325,1282048,32,40064,1
1679428325,1282048,32,40064,1
1679431325,1282048,32,40064,1
1679434325,1286144,32,40192,1
1679437325,1286144,32,40192,1
1679440325,1286144,32,40192,1
1679443325,1286144,32,40192,1
1679446325,1286144,32,40192,1
1679449325,1286144,32,40192,1
1679452325,1286144,32,40192,1
1679455325,1286144,32,40192,1
1679458325,1286144,32,40192,1
1679461325,1286144,32,40192,1
1679464325,1286144,32,40192,1
1679467325,1286144,32,40192,1
1679470325,1286144,32,40192,1
1679473325,1286144,32,40192,1
1679476325,1286144,32,40192,1
1679479325,1286144,32,40192,1
1679482325,1286144,32,40192,1
1679485325,1286144,32,40192,1
1679488325,1286144,32,40192,1
1679491325,1290240,32,40320,1
1679494325,1298432,32,40576,1
1679497325,1180480,32,36890,1
1679500325,1191936,32,37248,1
1679503325,1323008,32,41344,1
1679506325,1339392,32,41856,1
1679509325,1347584,32,42112,1
1679512325,1347584,32,42112,1
1679515325,1359872,32,42496,1
1679518325,1359872,32,42496,1
1679521325,1363968,32,42624,1
1679524325,1363968,32,42624,1
1679527325,1363968,32,42624,1
1679530325,1363968,32,42624,1
1679533325,1363968,32,42624,1
1679536325,1363968,32,42624,1
1679539325,1363968,32,42624,1
1679542325,1363968,32,42624,1
1679545325,1363968,32,42624,1
1679548325,1363968,32,42624,1
1679551325,1363968,32,42624,1
1679554325,1368064,32,42752,1
1679557325,1368064,32,42752,1
1679560325,1260320,32,39385,1
1679563325,1269760,32,39680,1
1679566325,1280384,32,40012,1
1679569325,1280384,32,40012,1
1679572325,1282048,32,40064,1
1679575325,1286144,32,40192,1
1679578325,1286144,32,40192,1
1679581325,1286144,32,40192,1
1679584325,1315936,32,41123,1
1679587325,1315936,32,41123,1
1679590325,1317984,32,41187,1
1679593325,1319392,32,41231,1
1679596325,1319392,32,41231,1
1679599325,1321568,32,41299,1
1679602325,1323648,32,41364,1
1679605325,1326912,32,41466,1
1679608325,1327104,32,41472,1
1679611325,1327104,32,41472,1
1679614325,1327744,32,41492,1
1679617325,1327744,32,41492,1
1679620325,1328064,32,41502,1
1679623325,1328064,32,41502,1
1679626325,1337632,32,41801,1
1679629325,1341536,32,41923,1
1679632325,1344384,32,42012,1
1679635325,1349728,32,42179,1
1679638325,1379264,32,43102,1
1679641325,1382336,32,43198,1
1679644325,1385152,32,43286,1
1679647325,1394144,32,43567,1
1679650325,1397824,32,43682,1
1679653325,1397824,32,43682,1
1679656325,1397824,32,43682,1
1679659325,1404416,32,43888,1
1679662325,1423936,32,44498,1
1679665325,1434656,32,44833,1
1679668325,1443488,32,45109,1
1679671325,1315264,32,41102,1
1679674325,1341184,32,41912,1
1679677325,1354272,32,42321,1
1679680325,1365696,32,42678,1
1679683325,1373696,32,42928,1
1679686325,1376160,32,43005,1
1679689325,1380512,32,43141,1
1679692325,1382816,32,43213,1
1679695325,1382816,32,43213,1
1679698325,1382816,32,43213,1
1679701325,1399296,32,43728,1
1679704325,1402112,32,43816,1
1679707325,1402112,32,43816,1
1679710325,1402112,32,43816,1
1679713325,1402112,32,43816,1
1679716325,1402112,32,43816,1
1679719325,1402112,32,43816,1
1679722325,1402112,32,43816,1
1679725325,1402112,32,43816,1
1679728325,1402112,32,43816,1
1679731325,1402112,32,43816,1
1679734325,1402112,32,43816,1
1679737325,1402112,32,43816,1
1679740325,1402112,32,43816,1
1679743325,1403488,32,43859,1
1679746325,1407136,32,43973,1
1679749325,1419712,32,44366,1
1679752325,1421568,32,44424,1
1679755325,1422752,32,44461,1
1679758325,1430624,32,44707,1
1679761325,1430624,32,44707,1
1679764325,1430624,32,44707,1
1679767325,1430624,32,44707,1
1679770325,1432608,32,44769,1
1679773325,1433376,32,44793,1
1679776325,1433376,32,44793,1
1679779325,1433664,32,44802,1
1679782325,1435712,32,44866,1
1679785325,1435936,32,44873,1
1679788325,1436768,32,44899,1
1679791325,1437152,32,44911,1
1679794325,1438176,32,44943,1
1679797325,1438176,32,44943,1
1679800325,1438176,32,44943,1
1679803325,1439456,32,44983,1
1679806325,1439712,32,44991,1
1679809325,1445824,32,45182,1
1679812325,1510272,32,47196,1
1679815325,1513600,32,47300,1
1679818325,1517856,32,47433,1
1679821325,1518912,32,47466,1
1679824325,1519456,32,47483,1
1679827325,1519872,32,47496,1
1679830325,1520096,32,47503,1
1679833325,1520736,32,47523,1
1679836325,1521376,32,47543,1
1679839325,1523360,32,47605,1
1679842325,1526240,32,47695,1
1679845325,1536128,32,48004,1
1679848325,1544832,32,48276,0
1679851325,1544832,32,48276,1
1679854325,1544832,32,48276,1
1679857325,1544832,32,48276,1
1679860325,1544832,32,48276,1
1679863325,1544832,32,48276,1
1679866325,1544832,32,48276,1
1679869325,1544832,32,48276,1
1679872325,1544832,32,48276,1
1679875325,1544832,32,48276,1
1679878325,1544832,32,48276,1
1679881325,1546656,32,48333,1
1679884325,1547776,32,48368,1
1679887325,1550432,32,48451,1
1679890325,1553472,32,48546,1
1679893325,1554080,32,48565,1
1679896325,1554272,32,48571,1
1679899325,1554592,32,48581,1
1679902325,1554912,32,48591,1
1679905325,1555232,32,48601,1
1679908325,1555840,32,48620,1
1679911325,1557600,32,48675,1
1679914325,1557728,32,48679,1
1679917325,1433664,32,44802,1
1679920325,1436704,32,44897,1
1679923325,1439744,32,44992,1
1679926325,1445856,32,45183,1
1679929325,1474144,32,46067,1
1679932325,1474144,32,46067,1
1679935325,1474144,32,46067,1
1679938325,1474144,32,46067,1
1679941325,1474144,32,46067,1
1679944325,1478368,32,46199,1
1679947325,1481600,32,46300,1
1679950325,1481760,32,46305,1
1679953325,1481920,32,46310,1
1679956325,1482080,32,46315,1
1679959325,1482240,32,46320,1
1679962325,1482400,32,46325,1
1679965325,1482560,32,46330,1
1679968325,1482720,32,46335,1
1679971325,1482880,32,46340,1
1679974325,1483040,32,46345,1
1679977325,1483200,32,46350,1
1679980325,1483360,32,46355,1
1679983325,1483520,32,46360,1
1679986325,1483680,32,46365,1
1679989325,1483840,32,46370,1
1679992325,1484000,32,46375,1
1679995325,1485504,32,46422,1
1679998325,1489024,32,46532,1
1680001325,1492544,32,46642,1
1680004325,1495296,32,46728,1
1680007325,1495296,32,46728,1
1680010325,1495296,32,46728,1
1680013325,1495296,32,46728,1
1680016325,1495296,32,46728,1
1680019325,1495296,32,46728,1
1680022325,1495296,32,46728,1
1680025325,1495296,32,46728,1
1680028325,1495296,32,46728,1
1680031325,1495296,32,46728,1
1680034325,1495296,32,46728,1
1680037325,1495296,32,46728,1
1680040325,1496256,32,46758,1
1680043325,1498656,32,46833,1
1680046325,1501056,32,46908,1
1680049325,1503328,32,46979,1
1680052325,1503456,32,46983,1
1680055325,1503456,32,46983,1
1680058325,1514560,32,47330,1
1680061325,1515680,32,47365,1
1680064325,1516800,32,47400,1
1680067325,1517920,32,47435,1
1680070325,1519040,32,47470,1
1680073325,1520160,32,47505,1
1680076325,1521280,32,47540,1
1680079325,1522400,32,47575,1
1680082325,1523520,32,47610,1
1680085325,1524640,32,47645,1
1680088325,1525760,32,47680,1
1680091325,1526880,32,47715,1
